,No.,Pos.,Player,Caps,Goals,Club,Country,Team,DOB,age
17,18,2DF,Ashley Young,34,7,Manchester United,England,England,1985-07-09,32
18,19,4FW,Marcus Rashford,19,3,Manchester United,England,England,1997-10-31,20
19,20,3MF,Dele Alli,25,2,Tottenham Hotspur,England,England,1996-04-11,22
20,21,3MF,Ruben Loftus-Cheek,4,0,Crystal Palace,England,England,1996-01-23,22
21,22,2DF,Trent Alexander-Arnold,1,0,Liverpool,England,England,1998-10-07,19
22,23,1GK,Nick Pope,1,0,Burnley,England,England,1992-04-19,26
0,1,1GK,Jaime Penedo,131,0,Dinamo București,Romania,Panama,1981-09-26,36
1,2,2DF,Michael Amir Murillo,22,2,New York Red Bulls,United States,Panama,1996-02-11,22
2,3,2DF,Harold Cummings,52,0,San Jose Earthquakes,United States,Panama,1992-03-01,26
3,4,2DF,Fidel Escobar,23,1,New York Red Bulls,United States,Panama,1995-01-09,23
4,5,2DF,Román Torres,111,10,Seattle Sounders FC,United States,Panama,1986-03-20,32
5,6,3MF,Gabriel Gómez,144,12,Atlético Bucaramanga,Colombia,Panama,1984-05-29,34
6,7,4FW,Blas Pérez,118,43,Municipal,Guatemala,Panama,1981-03-13,37
7,8,3MF,Édgar Bárcenas,29,0,Tapachula,Mexico,Panama,1993-10-23,24
8,9,4FW,Gabriel Torres,72,14,Huachipato,Chile,Panama,1988-10-31,29
9,10,4FW,Ismael Díaz,11,2,Deportivo Fabril,Spain,Panama,1997-05-12,21
10,11,3MF,Armando Cooper,98,7,Universidad de Chile,Chile,Panama,1987-11-26,30
11,12,1GK,José Calderón,31,0,Chorrillo,Panama,Panama,1985-08-14,32
12,13,2DF,Adolfo Machado,76,1,Houston Dynamo,United States,Panama,1985-02-14,33
13,14,3MF,Valentín Pimentel,23,1,Plaza Amador,Panama,Panama,1991-05-30,27
14,15,2DF,Erick Davis,38,0,Dunajská Streda,Slovakia,Panama,1991-03-31,27
15,16,4FW,Abdiel Arroyo,33,5,Alajuelense,Costa Rica,Panama,1993-12-13,24
16,17,2DF,Luis Ovalle,25,0,CD Olimpia,Honduras,Panama,1988-09-07,29
17,18,4FW,Luis Tejada,105,43,Sport Boys,Peru,Panama,1982-03-28,36
18,19,3MF,Ricardo Ávila,5,0,Gent,Belgium,Panama,1997-02-04,21
19,20,3MF,Aníbal Godoy,59,2,San Jose Earthquakes,United States,Panama,1990-02-10,28
20,21,3MF,José Luis Rodríguez,2,0,Gent,Belgium,Panama,1998-06-19,19
21,22,1GK,Álex Rodríguez,6,0,San Francisco,Panama,Panama,1990-08-05,27
22,23,2DF,Felipe Baloy (captain),102,3,Municipal,Guatemala,Panama,1981-02-24,37
0,1,1GK,Farouk Ben Mustapha,15,0,Al-Shabab,Saudi Arabia,Tunisia,1989-07-01,28
1,2,2DF,Syam Ben Youssef,42,1,Kasımpaşa,Turkey,Tunisia,1989-03-31,29
2,3,2DF,Yohan Benalouane,4,0,Leicester City,England,Tunisia,1987-03-28,31
3,4,2DF,Yassine Meriah,16,1,CS Sfaxien,Tunisia,Tunisia,1993-07-02,24
4,5,2DF,Oussama Haddadi,9,0,Dijon,France,Tunisia,1992-01-28,26
5,6,2DF,Rami Bedoui,8,0,Étoile du Sahel,Tunisia,Tunisia,1990-01-19,28
6,7,4FW,Saîf-Eddine Khaoui,5,0,Troyes,France,Tunisia,1995-04-27,23
7,8,4FW,Fakhreddine Ben Youssef,39,5,Al-Ettifaq,Saudi Arabia,Tunisia,1991-06-23,26
8,9,3MF,Anice Badri,7,2,Espérance,Tunisia,Tunisia,1990-09-18,27
9,10,4FW,Wahbi Khazri,35,12,Rennes,France,Tunisia,1991-02-08,27
10,11,2DF,Dylan Bronn,5,0,Gent,Belgium,Tunisia,1995-06-19,22
11,12,2DF,Ali Maâloul,46,0,Al Ahly,Egypt,Tunisia,1990-01-01,28
12,13,3MF,Ferjani Sassi,39,3,Al-Nassr,Saudi Arabia,Tunisia,1992-03-18,26
13,14,3MF,Mohamed Amine Ben Amor,26,1,Al-Ahli,Saudi Arabia,Tunisia,1992-05-03,26
14,15,4FW,Ahmed Khalil,3,0,Club Africain,Tunisia,Tunisia,1994-12-21,23
15,16,1GK,Aymen Mathlouthi (captain),70,0,Al-Batin,Saudi Arabia,Tunisia,1984-09-14,33
16,17,3MF,Ellyes Skhiri,5,0,Montpellier,France,Tunisia,1995-05-10,23
17,18,4FW,Bassem Srarfi,5,0,Nice,France,Tunisia,1997-06-25,20
18,19,4FW,Saber Khalifa,44,7,Club Africain,Tunisia,Tunisia,1986-10-14,31
19,20,4FW,Ghailene Chaalali,6,1,Espérance,Tunisia,Tunisia,1994-02-28,24
20,21,2DF,Hamdi Nagguez,15,0,Zamalek,Egypt,Tunisia,1992-10-28,25
21,22,1GK,Mouez Hassen,3,0,Châteauroux,France,Tunisia,1995-03-05,23
22,23,4FW,Naïm Sliti,17,3,Dijon,France,Tunisia,1992-07-27,25
0,1,1GK,David Ospina,86,0,Arsenal,England,Colombia,1988-08-31,29
1,2,2DF,Cristián Zapata,55,2,Milan,Italy,Colombia,1986-09-30,31
2,3,2DF,Óscar Murillo,13,0,Pachuca,Mexico,Colombia,1988-04-18,30
3,4,2DF,Santiago Arias,41,0,PSV Eindhoven,Netherlands,Colombia,1992-01-13,26
4,5,3MF,Wílmar Barrios,10,0,Boca Juniors,Argentina,Colombia,1993-10-16,24
5,6,3MF,Carlos Sánchez,85,0,Espanyol,Spain,Colombia,1986-02-06,32
6,7,4FW,Carlos Bacca,45,14,Villarreal,Spain,Colombia,1986-09-08,31
7,8,3MF,Abel Aguilar,70,7,Deportivo Cali,Colombia,Colombia,1985-01-06,33
8,9,4FW,Radamel Falcao (captain),73,29,Monaco,France,Colombia,1986-02-10,32
9,10,3MF,James Rodríguez,63,21,Bayern Munich,Germany,Colombia,1991-07-12,26
10,11,3MF,Juan Cuadrado,70,7,Juventus,Italy,Colombia,1988-05-26,30
11,12,1GK,Camilo Vargas,5,0,Deportivo Cali,Colombia,Colombia,1989-03-09,29
12,13,2DF,Yerry Mina,12,3,Barcelona,Spain,Colombia,1994-09-23,23
13,14,4FW,Luis Muriel,18,2,Sevilla,Spain,Colombia,1991-04-16,27
14,15,3MF,Mateus Uribe,8,0,América,Mexico,Colombia,1991-03-21,27
15,16,3MF,Jefferson Lerma,5,0,Levante,Spain,Colombia,1994-10-25,23
16,17,2DF,Johan Mojica,4,1,Girona,Spain,Colombia,1992-08-21,25
17,18,2DF,Farid Díaz,13,0,Olimpia,Paraguay,Colombia,1983-07-20,34
18,19,4FW,Miguel Borja,7,2,Palmeiras,Brazil,Colombia,1993-01-26,25
19,20,3MF,Juan Fernando Quintero,15,2,River Plate,Argentina,Colombia,1993-01-18,25
20,21,4FW,José Izquierdo,5,1,Brighton & Hove Albion,England,Colombia,1992-07-07,25
21,22,1GK,José Fernando Cuadrado,1,0,Once Caldas,Colombia,Colombia,1985-06-01,33
22,23,2DF,Dávinson Sánchez,9,0,Tottenham Hotspur,England,Colombia,1996-06-12,22
0,1,1GK,Eiji Kawashima,84,0,Metz,France,Japan,1983-03-20,35
1,2,2DF,Naomichi Ueda,4,0,Kashima Antlers,Japan,Japan,1994-10-24,23
2,3,2DF,Gen Shoji,11,1,Kashima Antlers,Japan,Japan,1992-12-11,25
3,4,3MF,Keisuke Honda,95,36,Pachuca,Mexico,Japan,1986-06-13,32
4,5,2DF,Yuto Nagatomo,105,3,Galatasaray,Turkey,Japan,1986-09-12,31
5,6,2DF,Wataru Endo,12,0,Urawa Red Diamonds,Japan,Japan,1993-02-09,25
6,7,3MF,Gaku Shibasaki,18,3,Getafe,Spain,Japan,1992-05-28,26
7,8,3MF,Genki Haraguchi,33,6,Fortuna Düsseldorf,Germany,Japan,1991-05-09,27
8,9,4FW,Shinji Okazaki,113,50,Leicester City,England,Japan,1986-04-16,32
9,10,3MF,Shinji Kagawa,92,30,Borussia Dortmund,Germany,Japan,1989-03-17,29
10,11,3MF,Takashi Usami,24,3,Fortuna Düsseldorf,Germany,Japan,1992-05-06,26
11,12,1GK,Masaaki Higashiguchi,5,0,Gamba Osaka,Japan,Japan,1986-05-12,32
12,13,4FW,Yoshinori Muto,24,2,Mainz 05,Germany,Japan,1992-07-15,25
13,14,3MF,Takashi Inui,27,4,Eibar,Spain,Japan,1988-06-02,30
14,15,4FW,Yuya Osako,29,7,1. FC Köln,Germany,Japan,1990-05-18,28
15,16,3MF,Hotaru Yamaguchi,42,2,Cerezo Osaka,Japan,Japan,1990-10-06,27
16,17,3MF,Makoto Hasebe (captain),110,2,Eintracht Frankfurt,Germany,Japan,1984-01-18,34
17,18,3MF,Ryota Oshima,5,0,Kawasaki Frontale,Japan,Japan,1993-01-23,25
18,19,2DF,Hiroki Sakai,43,0,Marseille,France,Japan,1990-04-12,28
19,20,2DF,Tomoaki Makino,32,4,Urawa Red Diamonds,Japan,Japan,1987-05-11,31
20,21,2DF,Gōtoku Sakai,41,0,Hamburger SV,Germany,Japan,1991-03-14,27
21,22,2DF,Maya Yoshida,82,10,Southampton,England,Japan,1988-08-24,29
22,23,1GK,Kosuke Nakamura,4,0,Kashiwa Reysol,Japan,Japan,1995-02-27,23
0,1,1GK,Wojciech Szczęsny,35,0,Juventus,Italy,Poland,1990-04-18,28
1,2,2DF,Michał Pazdan,33,0,Legia Warsaw,Poland,Poland,1987-09-21,30
2,3,2DF,Artur Jędrzejczyk,36,3,Legia Warsaw,Poland,Poland,1987-11-04,30
3,4,2DF,Thiago Cionek,19,0,SPAL,Italy,Poland,1986-04-21,32
4,5,2DF,Jan Bednarek,3,0,Southampton,England,Poland,1996-04-12,22
5,6,3MF,Jacek Góralski,5,0,Ludogorets Razgrad,Bulgaria,Poland,1992-09-21,25
6,7,4FW,Arkadiusz Milik,40,12,Napoli,Italy,Poland,1994-02-28,24
7,8,3MF,Karol Linetty,20,1,Sampdoria,Italy,Poland,1995-02-02,23
8,9,4FW,Robert Lewandowski (captain),95,55,Bayern Munich,Germany,Poland,1988-08-21,29
9,10,3MF,Grzegorz Krychowiak,51,2,West Bromwich Albion,England,Poland,1990-01-29,28
10,11,3MF,Kamil Grosicki,57,12,Hull City,England,Poland,1988-06-08,30
11,12,1GK,Bartosz Białkowski,1,0,Ipswich Town,England,Poland,1987-07-06,30
12,13,3MF,Maciej Rybus,51,2,Lokomotiv Moscow,Russia,Poland,1989-08-19,28
13,14,4FW,Łukasz Teodorczyk,17,4,Anderlecht,Belgium,Poland,1991-06-03,27
14,15,2DF,Kamil Glik,57,4,Monaco,France,Poland,1988-02-03,30
15,16,3MF,Jakub Błaszczykowski,99,20,VfL Wolfsburg,Germany,Poland,1985-12-14,32
16,17,3MF,Sławomir Peszko,43,2,Lechia Gdańsk,Poland,Poland,1985-02-19,33
17,18,2DF,Bartosz Bereszyński,8,0,Sampdoria,Italy,Poland,1992-07-12,25
18,19,3MF,Piotr Zieliński,33,5,Napoli,Italy,Poland,1994-05-20,24
19,20,2DF,Łukasz Piszczek,63,3,Borussia Dortmund,Germany,Poland,1985-06-03,33
20,21,3MF,Rafał Kurzawa,3,0,Górnik Zabrze,Poland,Poland,1993-01-29,25
21,22,1GK,Łukasz Fabiański,45,0,Swansea City,Wales,Poland,1985-04-18,33
22,23,4FW,Dawid Kownacki,2,1,Sampdoria,Italy,Poland,1997-03-14,21
0,1,1GK,Abdoulaye Diallo,17,0,Rennes,France,Senegal,1992-03-30,26
1,2,2DF,Saliou Ciss,18,0,Valenciennes,France,Senegal,1989-06-15,28
2,3,2DF,Kalidou Koulibaly,26,0,Napoli,Italy,Senegal,1991-06-20,26
3,4,2DF,Kara Mbodji,52,5,Anderlecht,Belgium,Senegal,1989-11-22,28
4,5,3MF,Idrissa Gueye,61,1,Everton,England,Senegal,1989-09-26,28
5,6,3MF,Salif Sané,22,0,Hannover 96,Germany,Senegal,1990-08-25,27
6,7,4FW,Moussa Sow,51,18,Bursaspor,Turkey,Senegal,1986-01-19,32
7,8,3MF,Cheikhou Kouyaté (captain),48,2,West Ham United,England,Senegal,1989-12-21,28
8,9,4FW,Mame Biram Diouf,49,10,Stoke City,England,Senegal,1987-12-16,30
9,10,4FW,Sadio Mané,53,14,Liverpool,England,Senegal,1992-04-10,26
10,11,3MF,Cheikh N'Doye,26,3,Birmingham City,England,Senegal,1986-03-29,32
11,12,2DF,Youssouf Sabaly,5,0,Bordeaux,France,Senegal,1993-03-05,25
12,13,3MF,Alfred N'Diaye,21,0,Wolverhampton Wanderers,England,Senegal,1990-03-06,28
13,14,4FW,Moussa Konaté,28,10,Amiens,France,Senegal,1993-04-03,25
14,15,4FW,Diafra Sakho,12,3,Rennes,France,Senegal,1989-12-24,28
15,16,1GK,Khadim N'Diaye,26,0,Horoya,Guinea,Senegal,1985-04-05,33
16,17,3MF,Badou Ndiaye,20,1,Stoke City,England,Senegal,1990-10-27,27
17,18,4FW,Ismaïla Sarr,16,3,Rennes,France,Senegal,1998-02-25,20
18,19,4FW,M'Baye Niang,7,0,Torino,Italy,Senegal,1994-12-19,23
19,20,4FW,Keita Baldé,19,3,Monaco,France,Senegal,1995-03-08,23
20,21,2DF,Lamine Gassama,36,0,Alanyaspor,Turkey,Senegal,1989-10-20,28
21,22,2DF,Moussa Wagué,10,0,Eupen,Belgium,Senegal,1998-10-04,19
22,23,1GK,Alfred Gomis,1,0,SPAL,Italy,Senegal,1993-09-05,24
